,nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
75,Mã©Dio,Hyundai,Hb20S,Platinum,9.7,10.9,13.4,15.4
76,Mã©Dio,Hyundai,Hb20S,Se,9.7,10.9,13.4,15.4
77,Mã©Dio,Hyundai,Hb20S,Comfort,9.2,10.7,13.0,15.2
78,Mã©Dio,Hyundai,Hb20S,Platinum Safety,9.2,10.7,13.0,15.2
79,Mã©Dio,Hyundai,Hb20S,Se,9.2,10.7,13.0,15.2
80,Mã©Dio,Nissan,Versa,Sense Cvt,7.9,10.5,11.5,15.0
81,Mã©Dio,Nissan,Versa,Advnc Cvt,7.9,10.5,11.5,15.0
82,Mã©Dio,Nissan,Versa,Sr Cvt,7.9,10.5,11.5,15.0
83,Mã©Dio,Nissan,Versa,Excl Cvt,7.9,10.5,11.5,15.0
84,Mã©Dio,Volkswagen,Virtus,"Comfortline 200Tsi 
AutomãTico",8.3,10.2,12.1,14.7
85,Mã©Dio,Volkswagen,Virtus,"Highline 200Tsi 
AutomãTico",8.3,10.2,12.1,14.7
86,Mã©Dio,Volkswagen,Virtus,Tsi AutomãTico,8.5,10.4,12.2,14.9
87,Mã©Dio,Volkswagen,Virtus,Tsi MecãNico,9.2,11.2,13.2,15.8
88,Mã©Dio,Volkswagen,Virtus,Sense Tsi MecãNico,9.2,11.2,13.2,15.8
89,Mã©Dio,Volkswagen,Virtus,"Exclusive 250Tsi 
AutomãTico",8.1,9.9,11.7,14.0
90,Mã©Dio,Volkswagen,Polo,Tsi MecãNico,9.6,11.4,13.9,16.3
91,Mã©Dio,Volkswagen,Polo,Sense Tsi AutomãTico,9.0,11.1,13.1,16.1
92,Mã©Dio,Volkswagen,Polo,Mpi,9.3,10.9,13.5,15.7
93,Mã©Dio,Volkswagen,Polo,Track 1.0 Mpi,9.3,10.9,13.5,15.7
94,Mã©Dio,Volkswagen,Polo,Track Robust 1.0 Mpi,9.3,10.9,13.5,15.7
95,Mã©Dio,Volkswagen,Tera,Mpi,9.1,10.2,13.2,14.7
96,Grande,Toyota,Corolla Cross,Xr 20,7.6,8.8,11.2,13.0
97,Grande,Toyota,Corolla Cross,Xre 20,7.6,8.8,11.2,13.0
98,Grande,Toyota,Corolla Cross,Xrx 20,7.6,8.8,11.2,13.0
99,Grande,Toyota,Corolla Cross,Grs,7.6,8.8,11.2,13.0
100,Grande,Toyota,Corolla Cross,Xrv Hybrid,11.6,9.9,16.6,14.0
101,Grande,Toyota,Corolla Cross,Xrx Hybrid,11.6,9.9,16.6,14.0
102,Grande,Toyota,Corolla,Gli,8.0,10.0,11.9,14.5
103,Grande,Toyota,Corolla,Gli 20,8.0,10.0,11.9,14.5
104,Grande,Toyota,Corolla,Xei 20,8.0,10.0,11.9,14.5
105,Grande,Toyota,Corolla,Altis 20,8.0,10.0,11.9,14.5
106,Grande,Toyota,Corolla,Grs,8.0,10.0,11.9,14.5
107,Grande,Toyota,Corolla,Altis Hv,12.5,10.7,17.5,15.2
108,Grande,Toyota,Corolla,Apremiumh,12.5,10.7,17.5,15.2
109,Grande,Toyota,Corolla,Gli Hev,12.5,10.7,17.5,15.2
110,Extra Grande,Bmw,320I,M Sport Flex,7.4,9.0,10.5,13.1
111,Extra Grande,Bmw,320I,Sport Gp Flex,7.6,9.2,10.9,13.3
112,Extra Grande,Bmw,320I,Gp Flex,7.6,9.2,10.9,13.3
113,Extra Grande,Bmw,320I,Active Flex,7.1,8.6,10.0,12.3
114,Utilitã¡Rio Esportivo Compacto,Caoa Chery,Tiggo 5X,Pro Ha,8.1,8.5,11.4,11.8
115,Utilitã¡Rio Esportivo Compacto,Caoa Chery,Tiggo 5X,Pro,6.5,8.4,10.0,12.1
116,Utilitã¡Rio Esportivo Compacto,Caoa Chery,Tiggo 5X,Sport,6.5,8.4,10.0,12.1
117,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,Lt,8.0,9.8,11.6,13.7
118,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,Mid,8.0,9.8,11.6,13.7
119,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,At,8.0,9.8,11.6,13.7
120,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,Ltz,8.0,9.8,11.6,13.7
121,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,Rs,7.7,10.0,11.2,14.1
122,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker,Premier,7.7,10.0,11.2,14.1
123,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Lt,8.1,9.9,11.5,13.8
124,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Ltz,8.1,9.9,11.5,13.8
125,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),At,8.1,9.9,11.5,13.8
126,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Lt,8.1,9.9,11.5,13.8
127,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Ltz,8.1,9.9,11.5,13.8
128,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Rs,7.6,9.7,11.0,13.7
129,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Premier,7.6,9.7,11.0,13.7
130,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),100 Anos,7.6,9.7,11.0,13.7
131,Utilitã¡Rio Esportivo Compacto,Chevrolet,Tracker (My26),Premier,7.6,9.7,11.0,13.7
132,Utilitã¡Rio Esportivo Compacto,Citroen,Basalt,T200 1St,8.4,9.6,12.1,13.7
133,Utilitã¡Rio Esportivo Compacto,Citroen,Basalt,Feel 1.0,9.2,10.1,13.2,14.3
134,Utilitã¡Rio Esportivo Compacto,Citroen,Basalt,Shine T200,8.4,9.6,12.1,13.7
135,Utilitã¡Rio Esportivo Compacto,Citroen,Basalt,Feel T200,8.4,9.6,12.1,13.7
136,Utilitã¡Rio Esportivo Compacto,Citroen,C3,Feel 1.0,9.3,10.3,13.2,14.5
137,Utilitã¡Rio Esportivo Compacto,Citroen,C3,Live 1.0,9.3,10.3,13.2,14.5
138,Utilitã¡Rio Esportivo Compacto,Citroen,C3,Live Pk 1.0,9.3,10.3,13.2,14.5
139,Utilitã¡Rio Esportivo Compacto,Citroen,C3,You 1.0T Cvt,8.1,8.9,11.5,12.9
140,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Fl,7.9,9.1,11.2,13.0
141,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Fl 7,7.9,9.1,11.2,13.0
142,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Fl Pk,7.9,9.1,11.2,13.0
143,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Flpk7,7.9,9.1,11.2,13.0
144,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Sh,7.9,9.1,11.2,13.0
145,Utilitã¡Rio Esportivo Compacto,Citroen,C3 Aircross,Sh 7,7.9,9.1,11.2,13.0
