Categoria,Marca,Modelo,Vers�o,Combust��vel,Etanol - Cidade,Etanol  - Estrada,Gasolina ou Diesel - Cidade,Gasolina ou Diesel - Estrada,El�trico - Cidade,El�trico - Estrada
Médio,CHEVROLET,SPIN,LT,F,7.4,9.3,10.5,13.4,,
Médio,CHEVROLET,SPIN,AT,F,7.4,9.3,10.5,13.4,,
Médio,CHEVROLET,SPIN,LTZ5,F,7.4,9.3,10.5,13.4,,
Médio,CHEVROLET,SPIN (MY26.5),AT,F,7.1,9.1,10.1,13.1,,
Médio,CHEVROLET,SPIN (MY26.5),LT,F,7.8,8.8,11,12.6,,
Médio,CHEVROLET,SPIN (MY26.5),LT,F,7.1,9.1,10.1,13.1,,
Médio,FIAT,CRONOS,1,F,9.7,11.2,13.4,15.9,,
Médio,FIAT,CRONOS,DRIVE 1.0,F,9.7,11.2,13.4,15.9,,
Médio,FIAT,CRONOS,DRIVE1.3AT,F,8.9,10.7,12.6,14.6,,
Médio,FIAT,CRONOS,PREC 1.3AT,F,8.9,10.7,12.6,14.6,,
Médio,Geely,EX2,MAX,E,,,,,60.1,45.2
Médio,Geely,EX2,PRO,E,,,,,60.1,45.2
Médio,GWM,ORA 03,SKIN BEV48,E,,,,,41.7,35.7
Médio,GWM,ORA 03,GT BEV63,E,,,,,41.1,33.7
Médio,GWM,ORA 03,BEV58,E,,,,,42.8,36.1
Médio,HONDA,CITY,LX,F,9.3,10.4,12.8,15.5,,
Médio,HONDA,CITY,EX,F,9.3,10.4,12.8,15.5,,
Médio,HONDA,CITY,EXL,F,9.3,10.4,12.8,15.5,,
Médio,HONDA,CITY,TOURING,F,9.3,10.4,12.8,15.5,,
Médio,HONDA,CITY HATCH,LX,F,9.2,10.5,13.2,15,,
Médio,HONDA,CITY HATCH,EX,F,9.2,10.5,13.2,15,,
Médio,HONDA,CITY HATCH,EXL,F,9.2,10.5,13.2,15,,
Médio,HONDA,CITY HATCH,TOURING,F,9.2,10.5,13.2,15,,
Médio,HONDA,CITY HATCH,TOURING SPORT,F,9.2,10.5,13.2,15,,
Médio,HONDA,HR-V,EX HONDA SENSING,F,8.8,9.9,12.5,13.9,,
Médio,HONDA,HR-V,EXL HONDA SENSING,F,8.8,9.9,12.5,13.9,,
Médio,HONDA,HR-V,ADVANCE,F,8,9.2,11.3,13,,
Médio,HONDA,HR-V,TOURING,F,8,9.2,11.3,13,,
Médio,HONDA,HR-V (mod. 26),ADVANCE,F,8.1,9.1,11.5,12.9,,
Médio,HONDA,HR-V (mod. 26),TOURING,F,8.1,9.1,11.5,12.9,,
Médio,Hyundai,HB20S,Comfort,F,9.7,10.9,13.4,15.4,,
Médio,Hyundai,HB20S,Limited,F,9.7,10.9,13.4,15.4,,
Médio,Hyundai,HB20S,Platinum,F,9.7,10.9,13.4,15.4,,
Médio,Hyundai,HB20S,SE,F,9.7,10.9,13.4,15.4,,
Médio,Hyundai,HB20S,Comfort,F,9.2,10.7,13,15.2,,
Médio,Hyundai,HB20S,Platinum Safety,F,9.2,10.7,13,15.2,,
Médio,Hyundai,HB20S,SE,F,9.2,10.7,13,15.2,,
Médio,Hyundai,KONA,Ultimate,G,,,18.4,16,,
Médio,Hyundai,KONA,Signature,G,,,18.4,16,,
Médio,JAC,e-JS4,e-JS4,E,,,,,47.5,39.1
Médio,Mercedes-Benz,A200 AMG LINE,,G,,,12.1,14.3,,
Médio,MINI,Cooper,S 5P EXCLUSIVE,G,,,11.5,14.5,,
Médio,MINI,Cooper,S 5P TOP,G,,,11.5,14.5,,
Médio,MINI,Aceman,E,E,,,,,47.6,40.2
Médio,MINI,Aceman,SE,E,,,,,40.8,36.7
Médio,MINI,JCW-E,ACEMAN,E,,,,,41.2,39.8
Médio,MG,MG4,64 KWH COM / 64 KWH LUX,E,,,,,43.3,37.4
Médio,MG,MG4,64 KWH AWD,E,,,,,36.3,32.7
Médio,Nissan,Versa,SENSE CVT,F,7.9,10.5,11.5,15,,
Médio,Nissan,Versa,ADVNC CVT,F,7.9,10.5,11.5,15,,
Médio,Nissan,Versa,SR CVT,F,7.9,10.5,11.5,15,,
Médio,Nissan,Versa,EXCL CVT,F,7.9,10.5,11.5,15,,
Médio,Peugeot,E2008,GT,E,,,,,38.2,35.3
Médio,Renault,Mégane,E-TECH,E,,,,,41.4,38.8
Médio,VOLVO,EX30,E60 ULTRA,E,,,,,43.2,35.3
Médio,VOLVO,EX30,E60 PLUS,E,,,,,43.2,35.3
Médio,VOLVO,EX30,E60 CORE,E,,,,,43.2,35.3
Médio,VOLVO,EX30,TWIN ULTRA,E,,,,,33.4,32
Médio,VOLVO,EX30,E40 CORE,E,,,,,40.1,33.9
Médio,Volkswagen,VIRTUS,"COMFORTLINE 200TSI 
AUTOMÁTICO",F,8.3,10.2,12.1,14.7,,
Médio,Volkswagen,VIRTUS,"HIGHLINE 200TSI 
AUTOMÁTICO",F,8.3,10.2,12.1,14.7,,
Médio,Volkswagen,VIRTUS,TSI AUTOMÁTICO,F,8.5,10.4,12.2,14.9,,
Médio,Volkswagen,VIRTUS,TSI MECÂNICO,F,9.2,11.2,13.2,15.8,,
Médio,Volkswagen,VIRTUS,SENSE TSI MECÂNICO,F,9.2,11.2,13.2,15.8,,
Médio,Volkswagen,VIRTUS,"EXCLUSIVE 250TSI 
AUTOMÁTICO",F,8.1,9.9,11.7,14,,
Médio,Volkswagen,POLO,TSI MECÂNICO,F,9.6,11.4,13.9,16.3,,
Médio,Volkswagen,POLO,SENSE TSI AUTOMÁTICO,F,9,11.1,13.1,16.1,,
Médio,Volkswagen,POLO,MPI,F,9.3,10.9,13.5,15.7,,
Médio,Volkswagen,POLO,TRACK 1.0 MPI,F,9.3,10.9,13.5,15.7,,
Médio,Volkswagen,POLO,TRACK ROBUST 1.0 MPI,F,9.3,10.9,13.5,15.7,,
Médio,Volkswagen,TERA,MPI,F,9.1,10.2,13.2,14.7,,
Grande,AUDI,A3 Sedan,Advanced (ed.0),G,,,9.7,13,,
Grande,AUDI,A3 Sedan,Performance (ed.0),G,,,9.7,13,,
Grande,AUDI,A3 Sedan,Performance Black (ed.0),G,,,9.7,13,,
Grande,AUDI,RS3 Sedan,#NAME?,G,,,7.3,10.3,,
Grande,AUDI,RS3 Sedan,Track (ed.0),G,,,7.3,10.3,,
Grande,AUDI,RS3 Sedan,-,G,,,7.3,9.9,,
Grande,AUDI,RS3 Sedan,Track,G,,,7.3,9.9,,
Grande,BMW,X2,M35i,G,,,9.1,11.8,,
Grande,BMW,X2,M35i,G,,,8.9,11.6,,
Grande,BMW,iX1,xDrive30,E,,,,,35.7,32
Grande,BMW,iX1,eDrive20,E,,,,,37.4,36.1
Grande,BMW,iX2,xDrive30 MSP,E,,,,,35.7,32.8
Grande,BMW,220,-,G,,,11.4,14.9,,
Grande,BMW,220,MSP,G,,,11.4,14.9,,
Grande,BMW,M235,xDrive,G,,,8.9,12.3,,
Grande,BYD,D1,GL 180EV,E,,,,,39.2,34.2
Grande,BYD,D1,GS 180EV,E,,,,,39.2,34.2
Grande,GAC,AION Y,PREMIUM,E,,,,,36.5,35
Grande,GAC,AION Y,ELITE,E,,,,,36.5,35
Grande,GAC,AION Y,BEV Premium,E,,,,,36.5,35
Grande,HONDA,CIVIC HYBRID,TOURING,G,,,18.4,15.9,,
Grande,HONDA,CIVIC HYBRID,TOURING,G,,,18.4,15.9,,
Grande,HONDA,ZR-V (mod.26),TOURING,G,,,10.4,12.3,,
Grande,JAECOO,7,PRESTIGE,G,,,15.1,13.5,37,30.7
Grande,JAECOO,7,LUXURY,G,,,15.1,13.5,37,30.7
Grande,KIA,NIRO,HEV EX,G,,,18.3,15.9,,
Grande,KIA,NIRO,HEV LX,G,,,18.3,15.9,,
Grande,KIA,NIRO,HEV SX,G,,,18.3,15.9,,
Grande,KIA,NIRO,HEV SX RIOPEN,G,,,18.3,15.9,,
Grande,LEXUS,UX 300H,UX 300H,G,,,17.3,14.9,,
Grande,Mercedes-Benz,GLA200,AMG LINE,G,,,11.4,12.4,,
Grande,Mercedes-Benz,GLA200,PROGRESSIVE,G,,,11.4,12.4,,
Grande,Mercedes-Benz,AMG A45S 4M,,G,,,8.3,10.7,,
Grande,Mercedes-Benz,AMG GLA35 4M,,G,,,8.8,10.8,,
Grande,MINI,Countryman,SE EXCLUSIVE,E,,,,,35,31.8
Grande,MINI,Countryman,SE TOP,E,,,,,35,31.8
Grande,MINI,JCW,COUNTRYMAN,G,,,9.6,11.7,,
Grande,MINI,JCW,COUNTRYMAN EX,G,,,9.6,11.7,,
Grande,MINI,JCW,COUNTRYMAN,G,,,9.5,11.6,,
Grande,MINI,JCW,COUNTRYMAN EX,G,,,9.5,11.6,,
Grande,MG,S5,EV 62KWH LUX,E,,,,,43,36.7
Grande,MG,S5,EV 62KWH COM,E,,,,,43,36.7
Grande,NETA,X,400 COMFORT,E,,,,,40.3,35.5
Grande,NETA,X,500 COMFORT,E,,,,,38.4,35.2
Grande,NETA,X,500 LUXURY,E,,,,,38.4,35.2
Grande,Nissan,Sentra,SEN CVT,G,,,11,14,,
Grande,Nissan,Sentra,ADV CVT,G,,,11,14,,
Grande,Nissan,Sentra,EXCLUSIVE,G,,,11,14,,
Grande,OMODA,E5,--,E,,,,,44.7,35.2
Grande,TOYOTA,COROLLA CROSS,XR 20,F,7.6,8.8,11.2,13,,
Grande,TOYOTA,COROLLA CROSS,XRE 20,F,7.6,8.8,11.2,13,,
Grande,TOYOTA,COROLLA CROSS,XRX 20,F,7.6,8.8,11.2,13,,
Grande,TOYOTA,COROLLA CROSS,GRS,F,7.6,8.8,11.2,13,,
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,F,11.6,9.9,16.6,14,,
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,F,11.6,9.9,16.6,14,,
Grande,TOYOTA,COROLLA,GLI,F,8,10,11.9,14.5,,
Grande,TOYOTA,COROLLA,GLI 20,F,8,10,11.9,14.5,,
Grande,TOYOTA,COROLLA,XEI 20,F,8,10,11.9,14.5,,
Grande,TOYOTA,COROLLA,ALTIS 20,F,8,10,11.9,14.5,,
Grande,TOYOTA,COROLLA,GRS,F,8,10,11.9,14.5,,
Grande,TOYOTA,COROLLA,ALTIS HV,F,12.5,10.7,17.5,15.2,,
Grande,TOYOTA,COROLLA,APREMIUMH,F,12.5,10.7,17.5,15.2,,
Grande,TOYOTA,COROLLA,GLI HEV,F,12.5,10.7,17.5,15.2,,
Grande,VOLVO,EC40,6 CORE,E,,,,,41.7,37.2
Grande,VOLVO,EC40,6 PLUS,E,,,,,41.7,37.2
Grande,VOLVO,EC40,6 ULTRA,E,,,,,41.7,37.2
Grande,VOLVO,EC40,8 CORE,E,,,,,36.6,32.6
Grande,VOLVO,EC40,8 PLUS,E,,,,,36.6,32.6
Grande,VOLVO,EC40,8 ULTRA,E,,,,,36.6,32.6
Grande,VOLVO,EC40,PERF BLACK,E,,,,,36.6,32.6
Grande,Volkswagen,ID.4,PRO PERFORMANCE,E,,,,,34.5,29.8
Extra Grande,AUDI,e-tron GT,-,E,,,,,26,25
Extra Grande,AUDI,RS e-tron GT,-,E,,,,,25.7,25.5
Extra Grande,AUDI,Q5 SUV,Advanced (ed.0),G,,,8.3,10.2,,
Extra Grande,AUDI,Q5 SUV,S line (ed.0),G,,,8.3,10.2,,
Extra Grande,AUDI,Q5 SUV,Advanced,G,,,8.3,10.2,,
Extra Grande,AUDI,Q5 SUV,S line,G,,,8.3,10.2,,
Extra Grande,AUDI,SQ5 SUV,-,G,,,7.2,9.2,,
Extra Grande,AUDI,SQ5 Sportback,-,G,,,6.9,8.9,,
Extra Grande,AUDI,Q5 Sportback,Advanced (ed.0),G,,,8.1,10.2,,
Extra Grande,AUDI,Q5 Sportback,S line (ed.0),G,,,8.1,10.2,,
Extra Grande,AUDI,Q5 Sportback,Advanced,G,,,8.3,10.2,,
Extra Grande,AUDI,Q5 Sportback,S line,G,,,8.3,10.2,,
Extra Grande,AUDI,Q6 e-tron RWD,Performance,E,,,,,33.8,29.3
Extra Grande,AUDI,Q6 e-tron Quattro,Performance,E,,,,,34,29.6
Extra Grande,AUDI,Q6 e-tron Quattro,Performanec black,E,,,,,34,29.6
Extra Grande,AUDI,"Q6 Sportback e-tron 
Quattro",Performance black,E,,,,,35.4,31.2
Extra Grande,AUDI,"SQ6 Sportback e-tron 
Quattro",-,E,,,,,35.1,31.9
Extra Grande,AUDI,RS 6 Avant,Performance,G,,,5.9,7.8,,
Extra Grande,AUDI,RS 6 Avant,GT,G,,,5.9,7.8,,
Extra Grande,AUDI,Q7,S Line (ed.0),G,,,6.6,8.1,,
Extra Grande,AUDI,Q8 Sportback,Performance Black (ed.0),G,,,6.4,7.8,,
Extra Grande,AUDI,Q8 e-tron Sportback 55,Launch Edition,E,,,,,24.7,25.5
Extra Grande,AUDI,Q8 e-tron Sportback 55,Performance Black,E,,,,,24.7,25.5
Extra Grande,AUDI,Q8 e-tron 55,Launch Edition,E,,,,,24.5,24.7
Extra Grande,AUDI,A6 e-tron,Performance black,E,,,,,36.4,31.8
Extra Grande,AUDI,A5,Performance S Edition  (ed.0),G,,,8.7,11.5,,
Extra Grande,AUDI,A5,Performance S Edition,G,,,8.7,11.3,,
Extra Grande,AUDI,SQ8 e-tron Sportback,-,E,,,,,21,21.3
Extra Grande,AUDI,RSQ8,Performance,G,,,5.3,7,,
Extra Grande,BMW,420i,Cabrio,G,,,9.8,12.5,,
Extra Grande,BMW,530e,M SPORT,G,,,10.9,12.3,26.2,26.9
Extra Grande,BMW,320i,M Sport Flex,F,7.4,9,10.5,13.1,,
Extra Grande,BMW,320i,Sport GP Flex,F,7.6,9.2,10.9,13.3,,
Extra Grande,BMW,320i,GP Flex,F,7.6,9.2,10.9,13.3,,
Extra Grande,BMW,320i,Active Flex,F,7.1,8.6,10,12.3,,
Extra Grande,BMW,330e,-,G,,,9.2,10.8,20.6,24
Extra Grande,BMW,i4,40,E,,,,,34.2,32.3
Extra Grande,BMW,i4,M50,E,,,,,35.6,32.1
Extra Grande,BMW,i4,eDrive35,E,,,,,34,32
Extra Grande,BMW,IX,xDrive 40,E,,,,,30.6,29.6
Extra Grande,BMW,IX,xDrive 50,E,,,,,33.2,30.3
Extra Grande,BMW,iX,M60,E,,,,,28.8,28
